pH5.0,pH7.5,pH4.5,pH6.0,pH7.0,pH6.5,pH5.5,TMEM199KO_MGAT2,TMEM199KO_B4GALT1,Parental_B4GALT1,Parental_MGAT2,TMEM199KO_MANII,Parental_MANII
0.399397964,1.184302595,0.357410728,0.492217163,0.856099551,0.669663536,0.398610572,0.830698083,0.46210479,0.6110249,0.570480499,1.156797553,0.755345603
0.426348444,1.111593827,0.435674119,0.642535982,0.8634612,0.656551925,0.45380376,0.821448794,0.563348557,0.529801507,0.598078368,1.112260407,0.694634907
0.454106939,1.373136728,0.401208187,0.658111914,0.96222352,0.74761162,0.445841321,0.978757206,0.583877348,0.546231736,0.677597803,1.143246883,0.84052967
0.541137062,1.348231222,0.455723957,0.646555241,0.979543573,0.712606141,0.391225124,0.888021942,0.510172294,0.505797793,0.654634978,0.705441651,0.676181682
0.476735831,1.310696851,0.582201494,0.670140178,0.811901148,0.752180808,0.399881786,0.663535843,0.562927202,0.473785489,0.633947907,0.694221078,0.962006378
0.511741418,1.131292215,0.546654994,0.725671705,0.984020463,0.733064074,0.466966215,0.746535802,0.674061278,0.523674447,0.634019311,0.702745393,0.951394329
0.589010315,1.145999864,0.83339811,0.694681449,1.002423658,0.788243459,0.470351349,0.72226008,0.525102679,0.496537595,0.706435848,0.910646425,0.814329863
0.647293958,1.185901057,0.572675484,0.665588955,0.977148616,0.908756627,0.567743752,0.827961675,0.623073584,0.588125146,0.642977507,0.706021535,0.746069967
0.386651525,1.221371935,0.567072277,0.633317027,0.986244473,0.808937855,0.499595261,0.882217599,0.628374307,0.501094288,0.827308178,1.135732015,0.780095465
0.449347438,1.373109706,0.636435702,0.555224321,1.071040901,0.702572019,0.468287124,0.862200947,0.503659101,0.627630427,0.847945273,0.783814223,0.85792389
0.43101269,1.250946758,0.423742337,0.720596041,0.884905255,0.769565859,0.411031587,0.862035384,0.590279025,0.622780414,0.604025207,0.853256764,0.766567826
0.441685583,1.373826626,0.88891407,0.730018359,0.888934238,0.825484039,0.45699134,0.769720908,0.489868804,0.597375122,0.762576982,0.88029302,0.824330079
0.422952047,1.253453039,0.940574143,0.72914054,0.881981602,0.732870252,0.500178341,0.865210493,0.473847029,0.611483907,0.76262995,0.872928502,0.838626082
0.419345795,1.418670669,0.49781017,0.613692576,0.8300222,0.819118863,0.53306001,0.806298253,0.512368482,0.603526967,0.591536081,1.083440246,0.698104658
0.496802544,1.326567734,0.452277197,0.676505129,0.940551514,0.79399055,0.519779199,0.891085825,0.777005623,0.637749533,0.812350628,0.62930244,0.826587531
0.429785546,1.304559856,0.828619781,0.719612651,0.97517256,0.810923347,0.598089455,0.828849797,0.745885784,0.663323468,0.723795226,0.640031694,0.759710094
0.433057705,1.322708476,0.543017935,0.754335493,1.032133207,,0.470895889,0.854997997,0.680816425,0.589476112,0.757974712,0.893930025,0.84071035
0.470476491,1.361150756,0.432266849,0.623777535,0.937800308,,0.546539038,0.848752284,0.745722125,0.63986893,0.675777548,,0.818347122
0.487372365,1.512625157,0.438766804,0.61656943,1.022958587,,0.495282062,0.781259139,0.777331226,0.558021836,0.599708275,,0.853971257
0.502836286,1.013869752,0.420137555,0.648336152,0.913452208,,0.467480549,0.708946809,0.48505208,0.641149475,0.801085305,,0.711560125
0.50660396,1.184245207,0.397025635,0.708539833,0.998540069,,0.495212544,0.969446411,1.244320831,0.644142374,0.877225844,,0.659632189
0.502705601,1.37153193,0.435559417,,1.064695782,,0.515479614,1.24086203,1.009150482,0.616133322,0.968801423,,0.719701737
0.507206092,1.340006765,0.413637744,,1.121544932,,0.575127156,,0.551229389,0.648000707,0.678207245,,0.693943211
,1.461747396,0.427163338,,0.97564394,,0.543146968,,0.603202907,0.63665913,0.607756637,,0.703572315
,1.434636711,0.379450034,,0.961328943,,0.479719406,,0.587904312,0.482681414,0.587768501,,0.663402229
,1.432685621,0.41166337,,1.039431704,,0.566923312,,0.671083019,0.705173656,0.751320907,,0.66957597
,1.367951139,,,1.088864737,,0.580014737,,0.652533385,0.522640487,0.831958618,,0.720744987
,1.368462127,,,1.134104385,,0.552505399,,,0.831748754,0.887156189,,0.784680917
,1.255033738,,,,,,,,0.708840847,0.843673373,,0.764625875
,1.328109006,,,,,,,,,0.751835642,,0.941222153
,1.330217266,,,,,,,,,0.776000887,,0.810548294
,1.542824968,,,,,,,,,0.530133677,,0.882995962
,,,,,,,,,,0.617258076,,0.767210779
,,,,,,,,,,0.651265399,,0.815981869
,,,,,,,,,,0.701222783,,0.774259575
,,,,,,,,,,0.61537361,,0.971997972
,,,,,,,,,,0.774626531,,0.735758378
,,,,,,,,,,0.719549034,,0.793972372
,,,,,,,,,,0.582249601,,0.71493955
,,,,,,,,,,0.560360203,,0.735801345
,,,,,,,,,,0.634288894,,0.743947323
,,,,,,,,,,0.540725922,,0.698244628
,,,,,,,,,,0.605706477,,
,,,,,,,,,,0.774445372,,
,,,,,,,,,,0.781938271,,
,,,,,,,,,,1.05553256,,
